route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00011,wd,00101,Tao Poon,,,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00201,Tao Poon,,,,shp_16,
00011,wd,00216,Tao Poon,,0,,shp_16,
00011,wd,00301,Tao Poon,,,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00401,Tao Poon,,,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00501,Tao Poon,,,,shp_16,
00011,wd,00516,Tao Poon,,0,,shp_16,
00011,wd,00601,Tao Poon,,,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00701,Tao Poon,,,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00801,Tao Poon,,,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,00901,Tao Poon,,,,shp_16,
00011,wd,00916,Tao Poon,,0,,shp_16,
00011,wd,01001,Tao Poon,,,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01101,Tao Poon,,,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,01201,Tao Poon,,,,shp_16,
00011,wd,01216,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00216,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00516,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,00916,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,01216,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00216,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00516,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,01301,Tao Poon,,,,shp_16,
00011,wd,01316,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
00011,wd,00316,Tao Poon,,0,,shp_16,
00011,wd,01401,Tao Poon,,,,shp_16,
00011,wd,01416,Tao Poon,,0,,shp_16,
00011,wd,00416,Tao Poon,,0,,shp_16,
00011,wd,01501,Tao Poon,,,,shp_16,
00011,wd,01516,Tao Poon,,0,,shp_16,
00011,wd,00616,Tao Poon,,0,,shp_16,
00011,wd,00716,Tao Poon,,0,,shp_16,
00011,wd,01601,Tao Poon,,,,shp_16,
00011,wd,01616,Tao Poon,,0,,shp_16,
00011,wd,00816,Tao Poon,,0,,shp_16,
00011,wd,01016,Tao Poon,,0,,shp_16,
00011,wd,01116,Tao Poon,,0,,shp_16,
00011,wd,01316,Tao Poon,,0,,shp_16,
00011,wd,00116,Tao Poon,,0,,shp_16,
